word,phonemes,mx_ipa
abatanado,"['a', 'B', 'a', 't', 'a', 'n', 'A', 'D', 'o']",aβatanaðo
abatanar,"['a', 'B', 'a', 't', 'a', 'n', 'A', 'r']",aβatanaɾ
abatir,"['a', 'B', 'a', 't', 'I', 'r']",aβatiɾ
abazón,"['a', 'B', 'a', 'T', 'O', 'n']",aβason
abdicar,"['a', 'b', 'd', 'i', 'k', 'A', 'r']",aβðikaɾ
abdicativamente,"['a', 'b', 'd', 'i', 'k', 'a', 't', 'i', 'B', 'a', 'm', 'E', 'n', 't', 'e']",aβðikatiβamɛntɛ
abdicativo,"['a', 'b', 'd', 'i', 'k', 'a', 't', 'I', 'B', 'o']",aβðikatiβo
abdomen,"['a', 'b', 'd', 'O', 'm', 'e', 'n']",aβðomɛn
abdominal,"['a', 'b', 'd', 'o', 'm', 'i', 'n', 'A', 'l']",aβðominal
abducción,"['a', 'b', 'd', 'u', 'k', 'T', 'J', 'O', 'n']",aβðuksjon
abductor,"['a', 'b', 'd', 'u', 'k', 't', 'O', 'r']",aβðuktoɾ
abecé,"['a', 'B', 'e', 'k', 'E']",aβɛsɛ
abecedario,"['a', 'B', 'e', 'T', 'e', 'D', 'A', 'r', 'j', 'o']",aβɛsɛðaɾjo
abedul,"['a', 'B', 'e', 'D', 'U', 'l']",aβɛðul
abeja,"['a', 'B', 'E', 'x', 'a']",aβɛxa
abejar,"['a', 'B', 'e', 'x', 'A', 'r']",aβɛxaɾ
abejarrón,"['a', 'B', 'e', 'x', 'a', 'R', 'O', 'n']",aβɛxaɹon
abejaruco,"['a', 'B', 'e', 'x', 'a', 'r', 'U', 'k', 'o']",aβɛxaɾuko
abejero,"['a', 'B', 'e', 'x', 'E', 'r', 'o']",aβɛxɛɾo
abejón,"['a', 'B', 'e', 'x', 'O', 'n']",aβɛxon
abejorro,"['a', 'B', 'e', 'x', 'O', 'R', 'o']",aβɛxoɹo
abellacar,"['a', 'B', 'e', 'Y', 'a', 'k', 'A', 'r']",aβɛʎakaɾ
abemolar,"['a', 'B', 'e', 'm', 'o', 'l', 'A', 'r']",aβɛmolaɾ
abencerraje,"['a', 'B', 'e', 'n', 'T', 'e', 'R', 'A', 'x', 'e']",aβɛnsɛɹaxɛ
abenuz,"['a', 'B', 'E', 'n', 'u', 'T']",aβɛnus
aberración,"['a', 'B', 'e', 'R', 'a', 'T', 'J', 'O', 'n']",aβɛɹasjon
aberrante,"['a', 'B', 'e', 'R', 'A', 'n', 't', 'e']",aβɛɹantɛ
abertura,"['a', 'B', 'e', 'r', 't', 'U', 'r', 'a']",aβɛɾtuɾa
abestiado,"['a', 'B', 'e', 's', 't', 'J', 'A', 'D', 'o']",aβɛstjaðo
