entry,phonemes,mappings
reixach,"['r', 'e', 'j', 'k', 's', 'A', 'C']","[('r', 'r'), ('e', 'e'), ('i', 'j'), ('x', 'k'), ('a', 's'), ('c', 'A'), ('h', 'C')]"
römer,"['r', 'O', 'm', 'e', 'r']","[('r', 'r'), ('ö', 'O'), ('m', 'm'), ('e', 'e'), ('r', 'r')]"
schön,"['e', 's', 'k', 'O', 'n']","[('s', 'e'), ('c', 's'), ('h', 'k'), ('ö', 'O'), ('n', 'n')]"
sesquióxido,"['s', 'e', 's', 'k', 'J', 'O', 'k', 's', 'i', 'D', 'o']","[('s', 's'), ('e', 'e'), ('s', 's'), ('q', 'k'), ('u', 'J'), ('i', 'O'), ('ó', 'k'), ('x', 's'), ('i', 'i'), ('d', 'D'), ('o', 'o')]"
sextillizo,"['s', 'e', 'k', 's', 't', 'i', 'Y', 'I', 's', 'o']","[('s', 's'), ('e', 'e'), ('x', 'k'), ('t', 's'), ('i', 't'), ('l', 'i'), ('l', 'Y'), ('i', 'I'), ('z', 's'), ('o', 'o')]"
sextuplique,"['s', 'e', 'k', 's', 't', 'u', 'p', 'l', 'I', 'k', 'e']","[('s', 's'), ('e', 'e'), ('x', 'k'), ('t', 's'), ('u', 't'), ('p', 'u'), ('l', 'p'), ('i', 'l'), ('q', 'I'), ('u', 'k'), ('e', 'e')]"
solidària,"['s', 'o', 'l', 'i', 'D', 'A', 'r', 'j', 'a']","[('s', 's'), ('o', 'o'), ('l', 'l'), ('i', 'i'), ('d', 'D'), ('à', 'A'), ('r', 'r'), ('i', 'j'), ('a', 'a')]"
tixpéhual,"['t', 'i', 'k', 's', 'p', 'E', 'w', 'a', 'l']","[('t', 't'), ('i', 'i'), ('x', 'k'), ('p', 's'), ('é', 'p'), ('h', 'E'), ('u', 'w'), ('a', 'a'), ('l', 'l')]"
trànsit,"['t', 'r', 'a', 'n', 's', 'I', 't']","[('t', 't'), ('r', 'r'), ('à', 'a'), ('n', 'n'), ('s', 's'), ('i', 'I'), ('t', 't')]"
wagner,"['b', 'a', 'g', 'n', 'E', 'r']","[('w', 'b'), ('a', 'a'), ('g', 'g'), ('n', 'n'), ('e', 'E'), ('r', 'r')]"
walkman,"['g', 'W', 'O', 'k', 'm', 'a', 'n']","[('w', 'g'), ('a', 'W'), ('l', 'O'), ('k', 'k'), ('m', 'm'), ('a', 'a'), ('n', 'n')]"
wallis,"['g', 'w', 'A', 'l', 'i', 's']","[('w', 'g'), ('a', 'w'), ('l', 'A'), ('l', 'l'), ('i', 'i'), ('s', 's')]"
wanchaq,"['g', 'W', 'A', 'n', 'C', 'a', 'k']","[('w', 'g'), ('a', 'W'), ('n', 'A'), ('c', 'n'), ('h', 'C'), ('a', 'a'), ('q', 'k')]"
wannoni,"['g', 'w', 'a', 'n', 'O', 'n', 'i']","[('w', 'g'), ('a', 'w'), ('n', 'a'), ('n', 'n'), ('o', 'O'), ('n', 'n'), ('i', 'i')]"
wapishana,"['g', 'w', 'a', 'p', 'i', 'C', 'A', 'n', 'a']","[('w', 'g'), ('a', 'w'), ('p', 'a'), ('i', 'p'), ('s', 'i'), ('h', 'C'), ('a', 'A'), ('n', 'n'), ('a', 'a')]"
washington,"['g', 'w', 'a', 'S', 'I', 'n', 'g', 't', 'o', 'n']","[('w', 'g'), ('a', 'w'), ('s', 'a'), ('h', 'S'), ('i', 'I'), ('n', 'n'), ('g', 'g'), ('t', 't'), ('o', 'o'), ('n', 'n')]"
waunaán,"['g', 'w', 'a', 'w', 'n', 'A', 'n']","[('w', 'g'), ('a', 'w'), ('u', 'a'), ('n', 'w'), ('a', 'n'), ('á', 'A'), ('n', 'n')]"
wayúu,"['g', 'w', 'a', 'Y', 'U']","[('w', 'g'), ('a', 'w'), ('y', 'a'), ('ú', 'Y'), ('u', 'U')]"
weezer,"['g', 'W', 'I', 'T', 'e', 'r']","[('w', 'g'), ('e', 'W'), ('e', 'I'), ('z', 'T'), ('e', 'e'), ('r', 'r')]"
weiss,"['g', 'W', 'E', 'J', 's']","[('w', 'g'), ('e', 'W'), ('i', 'E'), ('s', 'J'), ('s', 's')]"
wiesel,"['g', 'W', 'I', 's', 'e', 'l']","[('w', 'g'), ('i', 'W'), ('e', 'I'), ('s', 's'), ('e', 'e'), ('l', 'l')]"
wilches,"['g', 'W', 'I', 'l', 'C', 'e', 's']","[('w', 'g'), ('i', 'W'), ('l', 'I'), ('c', 'l'), ('h', 'C'), ('e', 'e'), ('s', 's')]"
windsurf,"['g', 'W', 'I', 'n', 's', 'e', 'r', 'f']","[('w', 'g'), ('i', 'W'), ('n', 'I'), ('d', 'n'), ('s', 's'), ('u', 'e'), ('r', 'r'), ('f', 'f')]"
windsurfista,"['g', 'w', 'i', 'n', 's', 'e', 'r', 'f', 'I', 's', 't', 'a']","[('w', 'g'), ('i', 'w'), ('n', 'i'), ('d', 'n'), ('s', 's'), ('u', 'e'), ('r', 'r'), ('f', 'f'), ('i', 'I'), ('s', 's'), ('t', 't'), ('a', 'a')]"
wing,"['g', 'W', 'I', 'N']","[('w', 'g'), ('i', 'W'), ('n', 'I'), ('g', 'N')]"
with,"['g', 'W', 'I', 't']","[('w', 'g'), ('i', 'W'), ('t', 'I'), ('h', 't')]"
wolff,"['g', 'W', 'O', 'l', 'f']","[('w', 'g'), ('o', 'W'), ('l', 'O'), ('f', 'l'), ('f', 'f')]"
wottujapiaroa,"['g', 'w', 'o', 't', 'u', 'x', 'a', 'p', 'j', 'a', 'r', 'O', 'a']","[('w', 'g'), ('o', 'w'), ('t', 'o'), ('t', 't'), ('u', 'u'), ('j', 'x'), ('a', 'a'), ('p', 'p'), ('i', 'j'), ('a', 'a'), ('r', 'r'), ('o', 'O'), ('a', 'a')]"
writer,"['r', 'A', 'J', 't', 'e', 'r']","[('w', 'r'), ('r', 'A'), ('i', 'J'), ('t', 't'), ('e', 'e'), ('r', 'r')]"
xadani,"['x', 'a', 'D', 'A', 'n', 'i']","[('x', 'x'), ('a', 'a'), ('d', 'D'), ('a', 'A'), ('n', 'n'), ('i', 'i')]"
yanomamö,"['Y', 'a', 'n', 'o', 'm', 'A', 'm', 'o']","[('y', 'Y'), ('a', 'a'), ('n', 'n'), ('o', 'o'), ('m', 'm'), ('a', 'A'), ('m', 'm'), ('ö', 'o')]"
